release_siteid1,release_date,type,pit_tag_ref,tag_new,length,weight,swab_id,bd_exposure,relocate_comment,relocate_frog_comment
84313,2016-07-12,reintroduction,900067000060947,NA,55,24,,exposed,,
20196,2017-08-24,reintroduction,982000410163554,NA,50,10,,exposed,,
20196,2017-08-24,reintroduction,982000410163561,NA,52,13,,exposed,,
20196,2017-08-24,reintroduction,982000410163475,NA,54,11,,unexposed,,
20196,2017-08-24,reintroduction,982000410163610,NA,46,10,,exposed,,
20196,2017-08-24,reintroduction,982000410163642,NA,48,10,,exposed,,
20196,2017-08-24,reintroduction,982000410163497,NA,48,10,,unexposed,,
20196,2017-08-24,reintroduction,982000410163578,NA,44,9,,unexposed,,
20196,2017-08-24,reintroduction,982000410163639,NA,49,12,,exposed,,
20196,2017-08-24,reintroduction,982000410163608,NA,51,11,,unexposed,,
20196,2017-08-24,reintroduction,982000410163631,NA,52,12,,exposed,,
20196,2017-08-24,reintroduction,982000410163621,NA,48,11,,exposed,,
20196,2017-08-24,reintroduction,982000410163595,NA,46,9,,exposed,,
20196,2017-08-24,reintroduction,982000410163654,NA,48,13,,unexposed,,
20196,2017-08-24,reintroduction,982000410163655,NA,48,8,,exposed,,
20196,2017-08-24,reintroduction,982000410163502,NA,50,11,,exposed,,
20198,2017-08-24,reintroduction,982000410163493,NA,46,10,,exposed,,
20198,2017-08-24,reintroduction,982000410163641,NA,45,10,,exposed,,
20198,2017-08-24,reintroduction,982000410163541,NA,51,14,,exposed,,
20198,2017-08-24,reintroduction,982000410163501,NA,46,10,,exposed,,
20198,2017-08-24,reintroduction,982000410163609,NA,48,10,,unexposed,,
20198,2017-08-24,reintroduction,982000410163505,NA,47,11,,exposed,,
20198,2017-08-24,reintroduction,982000410163496,NA,52,14,,unexposed,,
20198,2017-08-24,reintroduction,982000407484214,NA,52,11,,unexposed,,pit tag changed from 7484214 to 982000407484214 based on milestone capture.
20198,2017-08-24,reintroduction,982000410163632,NA,43,8,,exposed,,
20198,2017-08-24,reintroduction,982000410163483,NA,54,13,,exposed,,
20198,2017-08-24,reintroduction,982000410163489,NA,53,14,,unexposed,,
20198,2017-08-24,reintroduction,982000410163575,NA,47,8,,exposed,,
50785,2019-07-16,reintroduction,900067000089535,NA,52,13,,exposed,,
50785,2019-07-16,reintroduction,982126056337121,NA,40,14,,exposed,,
50785,2019-07-16,reintroduction,982126056334156,NA,50,15,,exposed,,
50785,2019-07-16,reintroduction,982126056334164,NA,40,14,,exposed,,
50785,2019-07-16,reintroduction,982126056337066,NA,41,9,,exposed,,
50785,2019-07-16,reintroduction,982126056334222,NA,51,20,,exposed,,
50785,2019-07-16,reintroduction,982126056334239,NA,40,10,,unexposed,,
50785,2019-07-16,reintroduction,982126056334144,NA,48,11,,exposed,,
70628,2020-08-05,translocation,982126058790597,TRUE,47,8,RKS30026,,,
70628,2020-08-05,translocation,982126058790465,TRUE,54,12,RKS30025,,,
50785,2019-07-16,reintroduction,982126056337051,NA,40,8,,unexposed,,
70414,2006-07-18,translocation,080050325,FALSE,49,10,RKS3554,,,moved to 70414.
70414,2006-07-18,translocation,080055334,FALSE,54,13,RKS3553,,,moved to 70414.
70414,2006-07-18,translocation,080055025,FALSE,51,12,RKS3541,,,moved to 70414.
70414,2006-07-18,translocation,091057583,TRUE,48,10,RKS3532,,,moved to 70414.
70414,2006-07-18,translocation,080058516,FALSE,54,14,RKS3559,,,moved to 70414.
70414,2006-07-18,translocation,091336372,TRUE,52,12,RKS3547,,,moved to 70414.
70414,2006-07-18,translocation,091114006,TRUE,44,9,RKS3555,,,clipped outer right digit. moved to 70414.
70414,2006-07-18,translocation,080052849,FALSE,54,16,RKS3548,,,moved to 70414. dead on arrival.
70414,2006-07-18,translocation,091529011,TRUE,48,12,RKS3551,,,moved to 70414. dead on arrival.
70414,2006-07-18,translocation,090871274,TRUE,47,11,RKS3561,,,moved to 70414.
70414,2006-07-18,translocation,091025053,TRUE,45,10,RKS3521,,,moved to 70414.
70414,2006-07-18,translocation,091025592,TRUE,51,12,RKS3544,,,moved to 70414.
70414,2006-07-18,translocation,091104806,TRUE,50,11,RKS3524,,,moved to 70414.
70414,2006-07-18,translocation,091029333,TRUE,50,9,RKS3534,,,moved to 70414.
70414,2006-07-18,translocation,080047783,FALSE,50,10,RKS3540,,,moved to 70414.
70414,2006-07-18,translocation,091549862,TRUE,47,8,RKS3571,,,moved to 70414.
70414,2006-07-18,translocation,091109549,TRUE,50,13,RKS3563,,,moved to 70414.
70414,2006-07-18,translocation,091015595,TRUE,46,10,RKS3530,,,moved to 70414.
70414,2006-07-18,translocation,091355322,TRUE,49,10,RKS3533,,,moved to 70414. dead on arrival.
70414,2006-07-18,translocation,091362526,TRUE,48,10,RKS3537,,,moved to 70414.
70414,2006-07-18,translocation,091586097,TRUE,53,13,RKS3542,,,moved to 70414.
70414,2006-07-18,translocation,091592889,TRUE,51,13,RKS3552,,,moved to 70414.
70414,2006-07-18,translocation,080053099,FALSE,55,14,RKS3568,,,moved to 70414.
70414,2006-07-18,translocation,091546090,TRUE,52,11,RKS3565,,,moved to 70414.
70414,2006-07-18,translocation,091373305,TRUE,54,13,RKS3538,,,moved to 70414. dead on arrival.
70628,2020-08-05,translocation,982126058790538,TRUE,51,13,RKS30035,,,
10486,2016-08-29,translocation,NA,FALSE,60,NA,,,frogs were not pit tagged,
70134,2006-08-08,translocation,091024307,TRUE,52,14,RKS3742,,,moved to 70134.
70134,2006-08-08,translocation,080050269,FALSE,48,10,RKS4180,,,previously pit tagged. moved to 70134.
70134,2006-08-08,translocation,091058003,TRUE,46,9,RKS3737,,,moved to 70134.
70134,2006-08-08,translocation,090867313,TRUE,49,12,RKS3729,,,moved to 70134.
70134,2006-08-08,translocation,091528519,TRUE,56,19,RKS3746,,,moved to 70134.
