site_id,drainage
10001,sn_jqn_sf
10002,sn_jqn_sf
10003,sn_jqn_sf
10004,sn_jqn_sf
10005,sn_jqn_sf
10006,sn_jqn_sf
10007,sn_jqn_sf
10008,sn_jqn_sf
10009,sn_jqn_sf
10010,sn_jqn_sf
10011,sn_jqn_sf
10012,sn_jqn_sf
10013,sn_jqn_sf_evolution_ck
10014,sn_jqn_sf_evolution_ck
10015,sn_jqn_sf_evolution_ck
10016,sn_jqn_sf_evolution_ck
10017,sn_jqn_sf_evolution_ck
10018,sn_jqn_sf_evolution_ck
10019,sn_jqn_sf_evolution_ck
10020,sn_jqn_sf_evolution_ck
10021,sn_jqn_sf_evolution_ck
10022,sn_jqn_sf_evolution_ck
10023,sn_jqn_sf
10024,sn_jqn_sf
10025,sn_jqn_sf
10026,sn_jqn_sf
10027,sn_jqn_sf
10028,sn_jqn_sf_evolution_ck
10029,sn_jqn_sf_evolution_ck
10030,sn_jqn_sf_evolution_ck
10031,sn_jqn_sf_evolution_ck
10032,sn_jqn_sf_evolution_ck
10033,sn_jqn_sf_evolution_ck
10034,sn_jqn_sf_evolution_ck
10035,sn_jqn_sf_evolution_ck
10036,sn_jqn_sf_evolution_ck
10037,sn_jqn_sf_evolution_ck
10039,sn_jqn_sf_evolution_ck
10041,sn_jqn_sf_evolution_ck
10042,sn_jqn_sf_evolution_ck
10043,sn_jqn_sf_evolution_ck
10044,sn_jqn_sf_evolution_ck
10045,sn_jqn_sf_evolution_ck
10046,sn_jqn_sf_evolution_ck
10047,sn_jqn_sf_evolution_ck
10050,sn_jqn_sf_evolution_ck
10052,sn_jqn_sf_evolution_ck
10053,sn_jqn_sf_evolution_ck
10054,sn_jqn_sf_evolution_ck
10055,sn_jqn_sf_evolution_ck
10056,sn_jqn_sf_evolution_ck
10057,sn_jqn_sf_evolution_ck
10058,sn_jqn_sf_evolution_ck
10059,sn_jqn_sf_north_goddard_ck
10060,sn_jqn_sf_evolution_ck
10061,sn_jqn_sf_evolution_ck
10062,sn_jqn_sf_evolution_ck
10063,sn_jqn_sf_evolution_ck
10064,sn_jqn_sf_evolution_ck
10065,sn_jqn_sf_evolution_ck
10066,sn_jqn_sf_evolution_ck
10067,sn_jqn_sf_evolution_ck
10068,sn_jqn_sf_evolution_ck
10069,sn_jqn_sf_evolution_ck
10070,sn_jqn_sf_evolution_ck
10071,sn_jqn_sf_evolution_ck
10072,sn_jqn_sf_evolution_ck
21037,kern
10073,sn_jqn_sf_evolution_ck
10074,sn_jqn_sf_evolution_ck
10075,sn_jqn_sf_evolution_ck
10076,sn_jqn_sf_evolution_ck
10077,sn_jqn_sf_evolution_ck
10078,sn_jqn_sf_evolution_ck
10079,sn_jqn_sf_evolution_ck
10080,sn_jqn_sf_evolution_ck
10081,kings_mf
10082,sn_jqn_sf_north_goddard_ck
10083,sn_jqn_sf_north_goddard_ck
10084,sn_jqn_sf_north_goddard_ck
10085,sn_jqn_sf_north_goddard_ck
10086,sn_jqn_sf_north_goddard_ck
10087,sn_jqn_sf
10088,sn_jqn_sf_north_goddard_ck
10090,sn_jqn_sf_evolution_ck
10091,sn_jqn_sf_evolution_ck
10092,sn_jqn_sf_evolution_ck
10093,kings_mf
10094,kings_mf
10095,kings_mf
10096,kings_mf
10097,kings_mf
10098,kings_mf
10100,kings_mf
10101,kings_mf
10102,kings_mf
10103,kings_mf
10104,sn_jqn_sf
10105,sn_jqn_sf
10106,sn_jqn_sf
10107,sn_jqn_sf
10108,sn_jqn_sf
10109,sn_jqn_sf
10110,sn_jqn_sf
10111,sn_jqn_sf
10112,sn_jqn_sf
10113,sn_jqn_sf
10114,sn_jqn_sf
10115,sn_jqn_sf
10116,sn_jqn_sf
10117,kings_mf_goddard_ck
10118,kings_mf_goddard_ck
10119,kings_mf_goddard_ck
10120,kings_mf_goddard_ck
10121,kings_mf_goddard_ck
10122,kings_mf_goddard_ck_disappearing_ck
10123,kings_mf_goddard_ck_disappearing_ck
10124,kings_mf_goddard_ck_disappearing_ck
10125,kings_mf_goddard_ck_disappearing_ck
10126,kings_mf_goddard_ck
10127,kings_mf_goddard_ck
10128,kings_mf_goddard_ck
10129,kings_mf_goddard_ck
10130,kings_mf_goddard_ck
10131,kings_mf_goddard_ck
10132,kings_mf_goddard_ck_disappearing_ck
10133,kings_mf_goddard_ck_disappearing_ck
10134,kings_mf_goddard_ck_disappearing_ck
10135,kings_mf
10136,kings_mf_goddard_ck_disappearing_ck
10137,kings_mf_goddard_ck_disappearing_ck
10138,kings_mf_goddard_ck_disappearing_ck
10139,kings_mf_goddard_ck_disappearing_ck
10140,kings_mf_goddard_ck_disappearing_ck
21038,kern
10141,kings_mf_goddard_ck_disappearing_ck
10142,kings_mf_goddard_ck_disappearing_ck
10143,kings_mf_goddard_ck_disappearing_ck
10144,kings_mf_goddard_ck_disappearing_ck
10145,kings_mf
10146,kings_mf
10147,kings_mf
10148,kings_mf
10149,kings_mf
10150,kings_mf_goddard_ck_disappearing_ck
10151,kings_mf
10153,kings_mf_goddard_ck_disappearing_ck
10154,kings_mf_goddard_ck_disappearing_ck
10155,kings_mf_goddard_ck_disappearing_ck
10157,kings_mf_goddard_ck
10158,kings_mf_goddard_ck
10159,kings_mf_goddard_ck
10160,kings_mf_goddard_ck
10161,kings_mf_goddard_ck
10162,kings_mf_goddard_ck
10163,kings_mf_goddard_ck
10164,kings_mf_goddard_ck
10165,kings_mf_goddard_ck
10166,kings_mf_goddard_ck
10167,kings_mf_goddard_ck
10168,kings_mf_goddard_ck
10169,kings_mf_goddard_ck
10170,kings_mf_goddard_ck
10171,kings_mf_blue_canyon_ck
10172,kings_mf_dougherty_ck_wf
10173,kings_mf_blue_canyon_ck
10174,kings_mf_blue_canyon_ck
10175,kings_mf_blue_canyon_ck
10176,kings_mf_blue_canyon_ck
10177,kings_mf_blue_canyon_ck
10178,kings_mf_blue_canyon_ck
10179,kings_mf_blue_canyon_ck
10180,kings_mf_blue_canyon_ck
10181,kings_mf_blue_canyon_ck
10182,kings_mf_goddard_ck
10183,kings_mf_goddard_ck
10184,kings_mf_goddard_ck
10185,kings_mf_goddard_ck
10186,kings_mf_goddard_ck
10187,kings_mf_goddard_ck
10189,kings_mf
10190,kings_mf
10191,kings_mf
10192,kings_mf
10193,kings_mf
10194,kings_mf
10195,kings_mf
10196,kings_mf_rambaud_ck
10197,kings_mf_rambaud_ck
10198,kings_mf_rambaud_ck
10199,kings_mf_rambaud_ck
10200,kings_mf_rambaud_ck
10201,kings_mf
10202,kings_mf
10203,kings_mf
10204,kings_mf
10205,kings_mf
10206,kings_mf_palisade_ck
